Date,BTC,ETH,LTC,BCH
5/26/2021,8726.230469,268.26001,112.480003,433.75
5/27/2021,8785.169922,271.829987,116.949997,440.369995
5/28/2021,8718.849609,271.450012,114.93,433.790009
5/29/2021,8664.55957,269.600006,115.290001,456.690002
5/30/2021,8276.25,254.449997,108.050003,421.859985
5/31/2021,8550.669922,267.420013,114.400002,442.980011
6/1/2021,8555.870117,264.709991,112.449997,432.470001
6/2/2021,8737.910156,269.309998,114.580002,441.570007
6/3/2021,8114.490234,249.610001,105.860001,401.390015
6/4/2021,7677.470215,241.100006,102.120003,382.940002
6/5/2021,7791.290039,246.160004,103.849998,397.480011
6/6/2021,7807.359863,249.429993,111.410004,397.089996
6/7/2021,8002.629883,249.539993,117.080002,399.390015
6/8/2021,7933.779785,244.399994,118.510002,393.630005
6/9/2021,7643.439941,231.429993,114.870003,380.679993
6/10/2021,8021,247.960007,129.830002,394.5
6/11/2021,7917.319824,245.160004,136.080002,388.160004
6/12/2021,8174.140137,263.049988,136.160004,397.109985
6/13/2021,8235.570313,255.089996,130.860001,412.059998
6/14/2021,8693.959961,263.76001,132.710007,421.339996
6/15/2021,8853.55957,269.220001,138.350006,423.459991
6/16/2021,8979.179688,268.529999,136.949997,427.540009
6/17/2021,9336.009766,273.920013,134.190002,431.170013
6/18/2021,9081.709961,264.51001,135.130005,413.429993
6/19/2021,9280.540039,269.01001,136.830002,416.589996
6/20/2021,9536.849609,272.209991,135.779999,412.850006
6/21/2021,10218.87012,296.029999,139.070007,441.279999
6/22/2021,10689.54004,309.410004,141.770004,480.48999
6/23/2021,10855.99023,307.369995,136.830002,475.76001
6/24/2021,11035.74023,311.220001,135.399994,478.200012
6/25/2021,11740.33984,316.529999,135.509995,477
6/26/2021,13325.48047,348.23999,135.460007,502.399994
